demo,kernel,implementation,metric,unit,value,launches,source,file
15-kernel-time,stencil,CUDA,sectors_per_request_load,sectors,4.67,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,stencil,CUDA,sectors_per_request_store,sectors,4.0,1,ncu,22-ncu-alignment-counters/ncu-cuda15.csv
15-kernel-time,stencil,TornadoVM,dram_bytes_read,bytes,16781120.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,stencil,TornadoVM,dram_bytes_write,bytes,576.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,stencil,TornadoVM,global_load_sectors,sectors,1966080.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,stencil,TornadoVM,global_store_sectors,sectors,655360.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,stencil,TornadoVM,sectors_per_request_load,sectors,5.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
15-kernel-time,stencil,TornadoVM,sectors_per_request_store,sectors,5.0,2,ncu,22-ncu-alignment-counters/ncu-tornado15.csv
16-tensor-core-datatypes,gemmBF16,TornadoVM,hmma_instructions,count,4.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmBF16,TornadoVM,imma_instructions,count,0.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmBF16,TornadoVM,tensor_instructions,count,4.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmBF16,TornadoVM,tensor_pipe_cycles,cycles,64.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmFP8E4M3,TornadoVM,hmma_instructions,count,2.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmFP8E4M3,TornadoVM,imma_instructions,count,0.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmFP8E4M3,TornadoVM,tensor_instructions,count,2.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmFP8E4M3,TornadoVM,tensor_pipe_cycles,cycles,32.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmFP8E5M2,TornadoVM,hmma_instructions,count,2.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmFP8E5M2,TornadoVM,imma_instructions,count,0.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmFP8E5M2,TornadoVM,tensor_instructions,count,2.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmFP8E5M2,TornadoVM,tensor_pipe_cycles,cycles,32.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmInt8,TornadoVM,hmma_instructions,count,0.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmInt8,TornadoVM,imma_instructions,count,2.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmInt8,TornadoVM,tensor_instructions,count,2.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
16-tensor-core-datatypes,gemmInt8,TornadoVM,tensor_pipe_cycles,cycles,32.0,1,ncu,26-tensor-core-datatypes/16-datatypes-ncu.csv
